# Date: 2022-04-25, 12:43:47
# Query: #x_ >PRED #y & #x_ >VTYPE #z_
# Running time: 552.87s 
# Treebanks: nob-avis, nob-child, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 10810
# matches: 10458840

#	#y	
# Count	value
934	vippe
932	kile
932	sitte*fast
931	vie
929	høre*etter
928	berge
923	krangle
923	kaste*seg*over
921	omgi
921	stryke*over
920	ta*det*med*ro
919	velsigne
919	live
919	teipe
917	triumfere
917	bjeffe
916	børste
916	slå*seg*ned
914	sørge
913	by*på
912	plystre
911	skli
909	merke*seg
907	ta*til
905	ryke
905	klø
903	gjespe
903	høre*hjemme
902	ofre
901	synke*sammen
901	nappe
900	minnes
895	insistere*på
894	forbli
893	stille*opp
892	stamme
892	fikse
891	spytte
891	rive*av
890	rykke*til
889	henvende*seg*til
888	snø
888	lamme
886	etterlate
886	undre
886	legge*ned
883	ete
883	være*til
882	trekke*ut
882	røre&move*på*seg
882	legge*ut
881	trampe
880	besvime
879	dufte
879	blande*seg
875	sitte*igjen
872	sees
871	eksplodere
870	hulke
868	fascinere
867	hvese
865	rette*på
865	gjennomgå
864	frakte
864	låse*opp
863	tørke*seg
863	bygge*opp
862	havne
861	spøke
860	støte
859	sprute
856	styrke
855	ta&touch*seg
854	tolke
854	utmatte
853	innta
852	glede*seg
852	høre*til
849	anstrenge*seg
846	henge*opp
846	trykke*på
846	vokte
845	observere
844	gripe*etter
844	juble
843	fri
842	slutte*med
838	øve
838	overnatte
838	forby
836	snu*på
835	presentere
835	dusje
834	ryste
832	arve
831	banke*på
831	tvinge*seg*til
826	overtale*til
826	finne*ut*av
826	glinse
825	ha*i*seg
824	glede*seg*over
824	forbanne
823	se*igjen
822	komme*frem
820	gå*ut*fra
820	tilstå
818	støte*på
817	kjede*seg
817	glo*på
816	myrde
813	tilfredsstille
813	reparere
813	roe*seg
812	vaske*seg
811	bruke*på
811	forsvare*seg
810	re
808	legge*inn
807	rive*seg*løs
806	vanne
804	smøre
802	glimte
799	håpe*på
797	krabbe
796	ta&touch*i
796	kaste*bort
796	vise*refl
794	runde
792	feile
790	komplisere
789	røre&stir
788	slå*på
788	legge*frem
785	mislike
785	satse*på
783	finne*seg*i
782	oppfylle
781	svaie
781	blafre
779	etterlate*seg
777	marsjere
776	tre
776	ha#lyst*til
775	steke
774	lyse&shine*opp
772	ta#tak*i
769	famle
768	flagre
768	farge
767	oppholde*seg
766	få*inn
765	koste&brush
764	sverge
763	ense
763	stikke*ut
762	kjærtegne
762	pynte
760	streve
759	vinke*til
759	gjøre*det
759	slukne
757	sjarmere
756	stinke
755	ordne*opp
755	ordne*seg
753	mørkne
753	rykke*i
752	glippe
751	trenges
746	trå
745	reagere*på
745	brette
743	fastslå
740	arrangere
739	knipe*sammen
738	leve*av
738	tilsvare
737	skotte
736	smake*på
732	produsere
731	klø*seg
729	speide
727	utvikle*seg
727	gripe*fatt*i
726	krølle
725	røke
723	snuse
721	balansere
721	gjø
720	friste
720	gape
715	huske&rememb*på
715	sette*ned
714	snufse
712	sitte*inne
710	bedre
710	fortsette*med
710	inngå
710	beregne
708	prate*om
708	overhøre
707	engasjere
707	gynge
706	respektere
706	forsterke
706	knele
706	snu*seg*bort
706	tulle
705	sende*ut
705	unnslippe
703	ankomme
703	kaste*ut
702	provosere
702	skyve*fra*seg
702	iaktta
699	forhindre
699	ta*over
698	lyse&declare
698	anklage
697	trekke*inn
697	ringe*på
696	ordne*med
695	spy
695	kutte
694	knuge
693	nynne
693	stille*seg*opp
693	hakke
692	stilne
692	minne*på
692	måpe
692	dra*opp
691	dra*seg
691	kalle*seg
689	ha*vanskelig*for
689	beherske
688	overdrive
687	ta-move*av
684	invitere*til
682	få*med
681	iføre
681	skritte
680	dumpe
679	operere
678	være&sense
677	myse
676	skjule*seg
676	klynke
675	komme*av
674	sluke
673	ta*til*seg
673	knurre
673	lære&learn*av
672	flykte*fra
671	bryte*opp
671	skryte*av
671	dundre
670	kommandere
670	fnyse
669	vugge
669	prøve*seg
667	skåle
666	ydmyke
664	lyde*som
663	spinne
663	oppfatte*som
662	blende
661	utløse
661	forakte
660	pese
660	trekke*fra
660	piske
660	følge*opp
660	blande*seg*med
659	dingle
658	huse
657	organisere
654	involvere
652	lukke*opp
652	more*seg
651	holde*til
651	grynte
651	besvare
649	fyke
647	gripe*om
646	bore
646	samle*sammen
644	tisse
644	snurre
643	forsikre*seg*om
642	bry
642	lufte
641	bruse
640	stable
639	utvide
638	skjære*seg
636	håndtere
635	lyve*for
635	glo
632	avslå
632	ha*seg
632	forsyne*seg
632	fornærme
631	felle
630	bebreide
629	erstatte
628	trippe
627	fornemme
626	slå*fast
625	gre*seg
625	misunne
622	høres*ut*som
622	beslutte
620	etablere
619	undertrykke
617	skingre
617	slippe*unna
615	stryke*seg*over
614	flomme
614	vasse
613	adlyde
613	markere
612	henge*sammen
612	halte
610	få-pass
609	herske
608	forbinde*med
607	kunne*for
605	blande
603	klirre
603	unnskylde*seg
602	lysne
602	snerre
601	tigge
600	overtale
599	senke*seg
599	forføre
598	nøye*seg*med
596	teste
595	kritisere
595	begi*seg
595	omtale
594	innvende
594	flimre
594	leve*på
594	bry*seg*med
593	formidle
592	gripe*inn
590	snu*seg*vekk
590	svinge*seg
589	ta*seg*ut
588	få*igjen
588	virvle
587	slite&toil*med
587	basere*på
587	rose
587	utfordre
586	skille*seg
585	blåse*i
585	knipe
584	forte*seg
584	innføre
584	rasle
583	bedra
